2026-04-03 20:23:18,486 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0060 | Data: mom=0.006
2026-04-03 20:23:18,564 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:23:18,672 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:23:29,115 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: below_floor:0.0122 | Data: mom=0.0122
2026-04-03 20:23:29,200 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.88 band=0.15-0.85
2026-04-03 20:23:29,287 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.13 band=0.15-0.85
2026-04-03 20:23:29,364 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.9 band=0.15-0.85
2026-04-03 20:23:29,443 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:23:29,529 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:23:29,610 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:23:29,701 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:23:29,782 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0101 | Data: mom=0.0101
2026-04-03 20:23:29,865 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0101 | Data: mom=0.0101
2026-04-03 20:23:29,947 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:23:30,025 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:23:40,560 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=220.6s
2026-04-03 20:23:40,637 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=220.6s
2026-04-03 20:23:40,718 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=220.7s
2026-04-03 20:23:40,802 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=220.8s
2026-04-03 20:23:40,877 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=220.9s
2026-04-03 20:23:40,957 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=221.0s
2026-04-03 20:23:41,041 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:23:41,138 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:23:41,215 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=221.2s
2026-04-03 20:23:41,297 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=221.3s
2026-04-03 20:23:41,394 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:23:41,470 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:23:52,001 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=232.0s
2026-04-03 20:23:52,081 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=232.1s
2026-04-03 20:23:52,162 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=232.2s
2026-04-03 20:23:52,253 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=232.3s
2026-04-03 20:23:52,334 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=232.3s
2026-04-03 20:23:52,409 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=232.4s
2026-04-03 20:23:52,489 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:23:52,592 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:23:52,679 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=232.7s
2026-04-03 20:23:52,757 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: max_secs_into_win | Data: into=232.8s
2026-04-03 20:23:52,843 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:23:52,918 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:24:03,563 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=56.5s
2026-04-03 20:24:03,645 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=56.4s
2026-04-03 20:24:03,724 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=56.4s
2026-04-03 20:24:03,810 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=56.3s
2026-04-03 20:24:03,895 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=56.2s
2026-04-03 20:24:03,973 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=56.1s
2026-04-03 20:24:04,053 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:24:04,147 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:24:04,227 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=55.9s
2026-04-03 20:24:04,305 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=55.8s
2026-04-03 20:24:04,385 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:24:04,466 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:24:15,054 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=45.0s
2026-04-03 20:24:15,132 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=44.9s
2026-04-03 20:24:15,217 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=44.9s
2026-04-03 20:24:15,298 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=44.8s
2026-04-03 20:24:15,372 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=44.7s
2026-04-03 20:24:15,449 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=44.6s
2026-04-03 20:24:15,526 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:24:15,614 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:24:15,690 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=44.4s
2026-04-03 20:24:15,775 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=44.3s
2026-04-03 20:24:15,864 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:24:15,942 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:24:26,678 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=33.4s
2026-04-03 20:24:26,755 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: min_secs_remaining | Data: rem=33.3s
